code,type,name,abreviated_name
PO420387,DELEGSENAT,Délégation sénatoriale aux collectivités territoriales et à la décentralisation,COLTE
PO420388,DELEGSENAT,Délégation sénatoriale à la prospective,PROSD
PO420854,ORGEXTPARL,Conseil d'administration de l'Etablissement national des produits de l'agriculture et de la mer,251
PO422375,ORGEXTPARL,Comité des usagers du réseau routier national,255
PO422826,ORGEXTPARL,Agence nationale de l'habitat,258
PO422874,ORGEXTPARL,Comité de surveillance des investissements d'avenir,259
PO423869,ORGEXTPARL,Comité consultatif de gouvernance mentionné à l'article L.213-4-1 du code de l'environnement,262
PO423980,ORGEXTPARL,Conseil supérieur de l'aviation civile,261
PO424150,ORGEXTPARL,Comité stratégique de l'Agence du service civique,264
PO424481,ORGEXTPARL,Conseil national de l'industrie,265
PO425949,ORGEXTPARL,Conseil national de l'aide aux victimes,269
PO425985,ORGEXTPARL,Commission nationale d'évaluation des politiques de l'État outre-mer,270
PO426509,ORGEXTPARL,Commission consultative de suivi des conséquences des essais nucléaires,272
PO427570,ORGEXTPARL,Conseil d'orientation stratégique de l'Institut français,274
PO427757,ORGEXTPARL,Conseil d'administration de l'Institut français,273
PO428024,ORGEXTPARL,Commission scientifique nationale des collections,276
PO429559,ORGEXTPARL,Conseil national de la mer et des littoraux,282
PO429567,ORGEXTPARL,Haut Conseil à la vie associative,283
PO430925,ORGEXTPARL,Commission nationale de la vidéoprotection,286
PO430982,ORGEXTPARL,Comité consultatif auprès du conseil d'administration de l'Etablissement public de Paris-Saclay,285
PO435816,ORGEXTPARL,Comité stratégique auprès du conseil de surveillance de la société du Grand Paris,288
PO436945,DELEGSENAT,Délégation sénatoriale à l'Outre-mer,DSOMD
PO438189,ORGEXTPARL,Conseil du service militaire adapté,289
PO516753,COMSENAT,Commission des affaires économiques,CAECO
PO516754,COMSENAT,Commission de l'aménagement du territoire et du développement durable,CDDCO
PO528194,ORGEXTPARL,comité consultatif du Fonds pour le développement de la vie associative,290
PO528198,ORGEXTPARL,Conseil supérieur des gens de mer,291
PO540562,ORGEXTPARL,Conseil d'administration de Campus France,292
PO586606,ORGEXTPARL,Conseil national du sport,308
PO58974,API,Délégation française à l'Assemblée parlementaire de l'OTAN,OTAN
PO58976,API,Délégation française à l'Assemblée parlementaire de l'Organisation pour la Sécurité et la Coopération en Europe (O.S.C.E.),OSC
PO58996,CJR,Cour de justice de la République,CJR
PO59046,COMPER,Commission de la défense nationale et des forces armées,CION_DEF
PO59047,COMPER,Commission des affaires étrangères,CION_AFETR
PO59048,COMPER,"Commission des finances, de l'économie générale et du contrôle budgétaire",CION_FIN
PO59051,COMPER,"Commission des lois constitutionnelles, de la législation et de l'administration générale de la République",CION_LOIS
PO60156,ORGEXTPARL,Conseil d'administration de l'Office national des anciens combattants et victimes de guerre,8
PO60159,ORGEXTPARL,Conseil national du bruit,12
PO60160,ORGEXTPARL,Commission de surveillance de la Caisse des dépôts et consignations,13
PO60168,ORGEXTPARL,Commission d'accès aux documents administratifs,22
PO60170,ORGEXTPARL,Conseil supérieur de l'énergie,24
PO60174,ORGEXTPARL,Conseil d'administration du Conservatoire de l'espace littoral et des rivages lacustres,29
PO60175,ORGEXTPARL,Comité consultatif national d'éthique pour les sciences de la vie et de la santé,30
PO60179,ORGEXTPARL,Comité des finances locales,34
PO60181,ORGEXTPARL,Conseil supérieur de la forêt et du bois,37
PO60185,ORGEXTPARL,Commission nationale de l'informatique et des libertés (CNIL),42
PO60189,ORGEXTPARL,Conseil supérieur de la mutualité,46
PO60192,ORGEXTPARL,Conseil d'administration du Centre national d'art et de culture Georges Pompidou,49
PO60193,ORGEXTPARL,Conseil supérieur des prestations sociales agricoles,50
PO60196,ORGEXTPARL,Conseil d'administration du centre hospitalier national d'ophtalmologie des quinze-vingts,53
PO60210,ORGEXTPARL,Commission des comptes de la sécurité sociale,67
PO60214,ORGEXTPARL,"Commission supérieure des sites, perspectives et paysages",72
PO60215,ORGEXTPARL,Conseil national de l'information statistique,73
PO60218,ORGEXTPARL,Conseil d'administration de l'agence nationale pour l'amélioration des conditions de travail,76
PO60222,ORGEXTPARL,Conseil national de l'habitat,81
PO60227,ORGEXTPARL,Commission nationale consultative des droits de l'homme,86
PO60235,ORGEXTPARL,Conseil national de la montagne,95
PO60237,ORGEXTPARL,Conseil d'administration de l'établissement d'hospitalisation public de Fresnes spécifiquement destiné à l'accueil des personnes incarcérées,97
PO60238,ORGEXTPARL,Conseil national du tourisme,98
PO60239,ORGEXTPARL,Conseil d'administration de la société nationale de programme Radio-France,99
PO60244,ORGEXTPARL,Conseil d'administration de l'Institut national de l'audiovisuel (INA),104
PO60248,ORGEXTPARL,Conseil national de l'enseignement supérieur et de la recherche,108
PO60249,ORGEXTPARL,Commission supérieure de la codification,109
PO60252,ORGEXTPARL,Commission supérieure du numérique et des postes,112
PO60255,ORGEXTPARL,Conseil d'administration de l'Agence pour l'enseignement français à l'étranger,115
PO60260,ORGEXTPARL,Conseil d'administration de l'Agence de l'environnement et de la maîtrise de l'énergie,120
PO60263,ORGEXTPARL,Comité national de l'organisation sanitaire et sociale,124
PO60265,ORGEXTPARL,Conseil d'administration de l'Agence française de développement,126
PO60266,ORGEXTPARL,Conseil national des politiques de lutte contre la pauvreté et l'exclusion sociale,127
PO60267,ORGEXTPARL,Comité de surveillance du Fonds de solidarité vieillesse,128
PO60276,ORGEXTPARL,"Conseil d'orientation de la participation, de l'intéressement, de l'épargne salariale et de l'actionnariat salarié",137
PO60277,ORGEXTPARL,Observatoire national de la sécurité et de l'accessibilité des établissements d'enseignement,138
PO60280,ORGEXTPARL,Conseil national de l'aménagement et du développement du territoire,141
PO60286,ORGEXTPARL,Comité de surveillance de la Caisse d'amortissement de la dette sociale,147
PO60291,ORGEXTPARL,Commission nationale du débat public,152
PO60294,ORGEXTPARL,Conseil d'administration de l'établissement public national d'aménagement et de restructuration des espaces commerciaux et artisanaux,155
PO60295,ORGEXTPARL,Conseil d'administration de la Fondation du patrimoine,156
PO60296,ORGEXTPARL,Conseil d'administration de l'Institut des hautes études de défense nationale,157
PO60297,ORGEXTPARL,Commission consultative du secret de la défense nationale,158
PO675659,DELEG,Délégation aux outre-mer,OM
PO677769,ORGEXTPARL,conseil d'administration du Centre national du cinéma et de l'image animée,300
PO678097,ORGEXTPARL,conseil d'administration de l'Agence nationale de sécurité du médicament et des produits de santé,299
PO678275,ORGEXTPARL,Haut Conseil du financement de la protection sociale,296
PO679161,ORGEXTPARL,Commission nationale des bourses de l'Agence pour l'enseignement français à l'étranger,121
PO681380,ORGEXTPARL,Conseil national des sapeurs-pompiers volontaires,297
PO683289,ORGEXTPARL,Haut comité de la qualité de service dans les transports,295
PO684926,PARPOL,Parti communiste français,PCF
PO684932,PARPOL,Parti socialiste,PS
PO684934,PARPOL,Parti radical de gauche,PRG
PO684936,PARPOL,Europe Écologie Les Verts,EELV
PO684938,PARPOL,Mouvement Démocrate,MODEM
PO685809,PARPOL,Calédonie Ensemble,CAL
PO685813,PARPOL,Cap sur l'avenir,CAP
PO685893,PARPOL,Parti progressiste martiniquais,PPM
PO687635,ORGEXTPARL,Haut Conseil à l'égalité entre les femmes et les hommes,303
PO692699,ORGEXTPARL,Comité national d'orientation de la société anonyme Bpifrance,306
PO693055,ORGEXTPARL,Conseil national du numérique (formation élargie),304
PO695379,ORGEXTPARL,Conseil consultatif des Terres australes et antarctiques françaises,310
PO696474,ORGEXTPARL,Conseil national des professions du spectacle,309
PO696836,ORGEXTPARL,Conseil national de la transition écologique,314
PO697215,ORGEXTPARL,Conseil supérieur des programmes,313
PO698635,ORGEXTPARL,"Commission nationale de l'aménagement, de l'urbanisme et du foncier",311
PO699035,ORGEXTPARL,Conseil national d'évaluation du système scolaire,316
PO699638,ORGEXTPARL,Commission pour la modernisation de la diffusion audiovisuelle,317
PO700940,ORGEXTPARL,Comité de suivi de la loi d'orientation et de programmation pour la refondation de l'école de la République,319
PO702822,ORGEXTPARL,Conseil national d'évaluation des normes,320
PO702841,ORGEXTPARL,Conseil d'administration de l'Agence de financement des infrastructures de transport de France,323
PO702883,GOUVERNEMENT,Gouvernement,GVT
PO704856,DELEGSENAT,Délégation sénatoriale aux entreprises,ENTRE
PO705103,PARPOL,Non rattaché(s),NR
PO707215,ORGEXTPARL,Conseil de surveillance de la SNCF,332
PO707219,ORGEXTPARL,Agence française d'expertise technique internationale,328
PO709155,ORGEXTPARL,Commission nationale des services,312
PO709158,ORGEXTPARL,Conseil national du développement et de la solidarité internationale,318
PO709162,ORGEXTPARL,Comité national d'orientation et de suivi du fods de soutien mentionné à l'article 92 de la loi du 29 décembre 2013 de finances pour 2014,322
PO709167,ORGEXTPARL,Observatoire de la récidive et de la désistance,324
PO709169,ORGEXTPARL,"Conseil national de l'emploi, de la formation et de l'orientation professionnelles",325
PO709174,ORGEXTPARL,Comité chargé d'assister la plate-forme nationale des interceptions judiciaires,326
PO709176,ORGEXTPARL,Conseil national de l'insertion par l'activité économique,327
PO709179,ORGEXTPARL,Agence Business France,329
PO709182,ORGEXTPARL,Centre national du livre,330
PO709185,ORGEXTPARL,Haut conseil de l'évaluation de la recherche et de l'enseignement supérieur,331
PO709188,ORGEXTPARL,Conseil national des villes,333
PO709190,ORGEXTPARL,Conseil supérieur de la construction et de l'efficacité énergétique,334
PO709193,ORGEXTPARL,Conseil national du syndrome de l'immunodéficience acquise (SIDA) et des hépatites virales chroniques,335
PO709195,ORGEXTPARL,Haut comité du système de transport ferroviaire,336
PO709198,ORGEXTPARL,Commission nationale consultative des gens du voyage,337
PO709200,ORGEXTPARL,Conseil supérieur de la coopération,338
PO709202,ORGEXTPARL,Commission nationale de la déontologie et des alertes en matière de santé publique et d'environnement,339
PO709204,ORGEXTPARL,Conseil national de l'économie sociale et solidaire,340
PO709206,ORGEXTPARL,Conseil supérieur de l'Agence France-Presse,341
PO709209,ORGEXTPARL,Commission nationale de contrôle des techniques de renseignement,342
PO710396,PARPOL,Les Républicains,REP
PO710611,PARPOL,Debout la France,DEBOU
PO711487,ORGEXTPARL,"Observatoire des espaces naturels, agricoles et forestiers",344
PO711496,ORGEXTPARL,Commission de concertation du commerce,345
PO716998,ORGEXTPARL,Comité stratégique de l’établissement public société canal seine-nord europe,359
PO717136,PRESREP,Présidence de la République : M. Emmanuel Macron,PRESI
PO717296,ORGEXTPARL,Comité de pilotage de l'Observatoire de la formation des prix et des marges des produits alimentaires,363
PO717298,ORGEXTPARL,Commission nationale du patrimoine et de l'architecture,362
PO717301,ORGEXTPARL,Conseil d'administration de l'agence nationale de santé publique,361
PO717306,ORGEXTPARL,Conseil scientifique sur les processus de radicalisation,360
PO717308,ORGEXTPARL,Comité de massif des Alpes,364
PO717311,ORGEXTPARL,Comité de massif du Massif central,365
PO717314,ORGEXTPARL,Comité de massif du Massif jurassien,366
PO717317,ORGEXTPARL,Comité de massif des Pyrénées,367
PO717320,ORGEXTPARL,Comité de massif du Massif vosgiens,368
PO717323,ORGEXTPARL,Comité de bassin Adour-Garonne,369
PO717325,ORGEXTPARL,Comité de bassin Artois-Picardie,370
PO717327,ORGEXTPARL,Comité de bassin Loire-Bretagne,371
PO717329,ORGEXTPARL,Comité de bassin Rhin-Meuse,372
PO717331,ORGEXTPARL,Comité de bassin Rhône-Méditerranée,373
PO717333,ORGEXTPARL,Comité de bassin Seine-Normandie,374
PO717335,ORGEXTPARL,Conseil d'administration de l'Office français de l'immigration et de l'intégration,343
PO717338,ORGEXTPARL,Conseil d'administration du centre scientifique et technique du bâtiment,346
PO717340,ORGEXTPARL,Comité de gestion des charges de service public de l'électricité,347
PO717345,ORGEXTPARL,Conseil d'administration du fonds d'expérimentation territoriale contre le chômage de longue durée,348
PO717347,ORGEXTPARL,Conseil d'administration du Fonds national des aides à la pierre,349
PO717349,ORGEXTPARL,Instance nationale du supportérisme,350
PO717351,ORGEXTPARL,Conseil supérieur de l'éducation routière,351
PO717423,ORGEXTPARL,"Haut Conseil de la famille, de l'enfance et de l'âge – Famille",375
PO717425,ORGEXTPARL,"Haut Conseil de la famille, de l'enfance et de l'âge – Enfance et adolescence",376
PO717427,ORGEXTPARL,"Haut Conseil de la famille, de l'enfance et de l'âge - Âge",377
PO717433,ORGEXTPARL,Conseil de surveillance de l’établissement public société canal seine-nord europe,358
PO717436,ORGEXTPARL,Commission départementale prévue à l'article L. 2334-37 du code général des collectivités territoriales,357
PO717438,ORGEXTPARL,Conseil consultatif de la garde nationale,356
PO717440,ORGEXTPARL,Conseil d’administration de l’agence francaise pour la biodiversité,355
PO717442,ORGEXTPARL,Comite national de dialogue de l’Agence nationale des frequences,354
PO717460,ASSEMBLEE,Assemblée nationale de la 15ème législature,AN
PO723569,GP,Non inscrit,NI
PO725343,CONFPT,Conférence des présidents,CNFPDT
PO730934,GP,Les Républicains,LR
PO730940,GP,Gauche démocrate et républicaine,GDR
PO730958,GP,La France insoumise,FI
PO730964,GP,La République en Marche,LAREM
PO732334,ORGEXTPARL,Commission permanente pour la protection sociale des Français de l'étranger,88
PO732421,GROUPESENAT,Groupe La République En Marche,LREMP
PO732735,DELEGBUREAU,Délégation chargée des activités internationales,INT
PO732748,DELEGBUREAU,Délégation chargée de l'application du statut du député,STA
PO732758,DELEGBUREAU,Délégation chargée de la communication et de la presse,COM
PO732768,DELEGBUREAU,Délégation chargée du patrimoine artistique et culturel de l'Assemblée nationale,PAT
PO732775,DELEGBUREAU,Délégation chargée d'examiner la recevabilité des propositions de loi,PPL
PO732781,DELEGBUREAU,Délégation chargée des représentants d'intérêts et des groupes d'études,REP
PO732859,ORGEXTPARL,Conseil d'administration de l'Institut de radioprotection et de sûreté nucléaire,379
PO732861,ORGEXTPARL,Conseil national de l'enseignement supérieur et de la recherche artistiques et culturels,378
PO732866,MISINFO,Mission d'évaluation et de contrôle des lois de financement de la sécurité sociale,MECSS
PO732919,GA,France-Bielorussie,BIE
PO732924,GA,France-République démocratique du Congo,RDC
PO732929,GA,France-Soudan du Sud,SSOUD
PO732934,GA,France-Singapour,SING
PO732939,GA,France-Portugal,POR
PO732944,GA,France-Suède,SUE
PO732949,GA,France-Indonésie,INDO
PO732954,GA,France-Comores,COM
PO732959,GA,France-Ghana,GHA
PO732964,GA,France-Mali,MALI
PO732969,GA,France-Estonie,EST
PO732974,GA,France-Argentine,ARG
PO732979,GA,France-Mongolie,MONG
PO732984,GA,France-Afrique du Sud,AFS
PO732990,GA,France-Kosovo,KOS
PO733001,GA,France-Pérou,PER
PO733006,GEVI,Groupe d'études à vocation internationale sur la Libye,LIBY
PO733011,GA,France-Afghanistan,AFG
PO733017,GA,France-Congo,CONG
PO733022,GA,France-Bahrein,BAH
PO733027,GA,France-Somalie,SOM
PO733032,GA,France-Egypte,EGY
PO733037,GA,France-Népal,NEP
PO733042,GA,France-Hongrie,HONG
PO733047,GEVI,Groupe d'études à vocation internationale sur les questions de la République populaire démocratique de Corée (Corée du Nord ),NK
PO733052,GA,France-Géorgie,GEOR
PO733057,GA,France-Italie,IT
PO733062,GA,France-Suriname,SUR
PO733067,GA,France-Angola,ANG
PO733072,GA,France-Québec,QUE
PO733077,GA,France-Croatie,CRO
PO733082,GA,France-Ethiopie,ETH
PO733087,GA,France-Colombie,COL
PO733092,GA,France-Djibouti,DJI
PO733097,GA,France-Philippines,PHI
PO733102,GA,France-Danemark,DAN
PO733107,GA,France-Tchèque (République),TCHE
PO733112,GA,France-Seychelles,SEY
PO733117,GA,France-Chine,CHIN
PO733122,GA,France-Chili,CHIL
PO733127,GA,France-Thaïlande,THAI
PO733132,GA,France-République centrafricaine,CTRA
PO733137,GA,France-Namibie,NAM
PO733142,GA,France-Equateur,EQU
PO733147,GA,France-Yemen,YEM
PO733152,GA,France-Lituanie,LITU
PO733157,GA,France-Corée du Sud,COR
PO733162,GA,France-Sri Lanka,SRI
PO733167,GA,France-Cap-Vert,CAPV
PO733172,GA,France-São Tomé et Príncipe,SAO
PO733177,GA,France-Suisse,SUI
PO733182,GA,France-Madagascar,MAD
PO733187,GA,France-Turquie,TURQ
PO733192,GA,France-Monténégro,MONT
PO733197,GA,France-Finlande,FIN
PO733202,GA,France-Iran,IRAN
PO733207,GA,France-Chypre,CHY
PO733212,GA,France-Malte,MALT
PO733217,GEVI,Groupe d'études à vocation internationale sur les relations avec le Saint Siège,VAT
PO733222,GA,France-Bolivie,BOL
PO733227,GA,France-Albanie,ALB
PO733232,GA,France-Burkina Faso,BURK
PO733237,GA,France-Soudan,SOUD
PO733242,GA,France-Vanuatu,VAN
PO733247,GA,France-Roumanie,ROU
PO733252,GA,France-Bangladesh,BANG
PO733262,GA,France-République d'Autriche,A
PO733267,GA,France-Bénin,BEN
PO733272,GA,France-Gambie,GAMB
PO733277,GA,France-Venezuela,VEN
PO733282,GA,France-Guinée équatoriale,GUINEQ
PO733287,GA,France-Laos,LAO
PO733292,GA,France-Niger,NIG
PO733297,GA,France-Azerbaïdjan,AZE
PO733302,GA,France-Royaume des Pays-Bas,PB
PO733307,GA,France-Japon,JAP
PO733312,GA,France-Ukraine,URK
PO733317,GA,France-Mexique,MEX
PO733322,GA,France-Canada,CAN
PO733327,GA,France-Guinée,GUI
PO733332,GA,France-Togo,TOG
PO733337,GA,France-Bosnie-Herzégovine,BHZ
PO733342,GA,France-Maroc,MAR
PO733347,GA,France-Grèce,GR
PO733352,GA,France-Liban,LIBAN
PO733357,GA,France-Luxembourg,LUX
PO733362,GA,France-Oman,OMAN
PO733367,GA,France-Emirats Arabes Unis,EAU
PO733372,GA,France-Australie,AUS
PO733377,GA,France-Erythrée,ERY
PO733382,GA,France-Israël,ISR
PO733387,GA,France-Islande,ISL
PO733397,GA,France-Vietnam,VIET
PO733402,GA,France-Guinée-Bissao,GUINB
PO733407,GA,France-Koweit,KOW
PO733412,GA,France-Russie,RUS
PO733417,GA,France-Irlande,IRL
PO733422,GA,France-Serbie,SER
PO733427,GA,France-Slovénie,SLOVE
PO733432,GA,France-Mozambique,MOZ
PO733437,GA,France-Monaco,MON
PO733442,GA,France-Jordanie,JOR
PO733447,GA,France-République du Paraguay,PAR
PO733452,GA,France-Tunisie,TUN
PO733457,GA,France-Mauritanie,MAURIT
PO733462,GEVI,Groupe d'études à vocation internationale France-Palestine,PAL
PO733467,GA,France-République dominicaine,DOM
PO733472,GA,France-Algérie,ALG
PO733477,GA,France-Uruguay,URUG
PO733482,GA,France-Arabie Saoudite,SAOU
PO733487,GA,France-Birmanie,BIR
PO733492,GA,France-Nouvelle-Zélande,NZ
PO733497,GA,France-Cambodge,CAMB
PO733502,GA,France-Kazakhstan,KAZ
PO733507,GA,France-Nigéria,NGRA
PO733512,GA,France-Cameroun,CAM
PO733517,GA,France-Arménie,ARM
PO733522,GA,France-Cuba,CUBA
PO733527,GA,France-Andorre,AND
PO733532,GA,France-Maurice,MAUR
PO733537,GA,France-Bulgarie,BULG
PO733542,GA,France-Macédoine du Nord,MAC
PO733547,GA,France-Irak,IRAK
PO733552,GA,France-Lettonie,LET
PO733557,GA,France-Gabon,GAB
PO733562,GA,France-Sénégal,SEN
PO733567,GA,France-Etats-Unis,USA
PO733572,GA,France-Pologne,PL
PO733577,GA,France-Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,GB
PO733587,GA,France-Moldavie,MOL
PO733592,GA,France-Haïti,HAI
PO733597,GA,France-Brésil,BRES
PO733602,GA,France-Liberia,LIBE
PO733607,GA,France-Allemagne,ALL
PO733612,GA,France-Pakistan,PAK
PO733617,GA,France-Inde,IND
PO733622,GEVI,Groupe d'études à vocation internationale sur les questions liées à l'expansion de l'économie taïwanaise,TAI
PO733627,GA,France-Espagne,ESP
PO733632,GA,France-Qatar,QAT
PO733637,GA,France-Belgique,BEL
PO733642,GA,France-Norvège,NOR
PO733647,GA,France-Timor Est,TIM
PO733652,GA,France-Côte d'Ivoire,CI
PO733657,GA,France-Jamaïque,JAM
PO733662,GA,France-Slovaquie,SLOVA
PO733667,GA,France-Tchad,TCH
PO733672,GA,France-Amérique centrale,AMQC
PO733678,GA,France-Asie centrale,ASC
PO733683,GA,France-Bruneï Malaisie,BRMA
PO733693,GA,France-Botswana Zambie Zimbabwe,BZZ
PO733698,GA,France-Burundi Rwanda,BURW
PO733703,GA,France-Kenya Ouganda Tanzanie,KOT
PO734041,ORGEXTPARL,Conseil d’administration de l’Agence nationale pour la gestion des déchets radioactifs,OPECST2000
PO734384,MISINFOPRE,Mission d'information sur l'avenir institutionnel de la Nouvelle-Calédonie,AVENIRNC
PO741019,GROUPESENAT,Groupe République et Territoires / Les Indépendants,RTLIP
PO741916,MISINFO,Groupe de travail sur les Jeux olympiques et paralympiques de Paris en 2024,JOP2024
PO742477,ORGEXTPARL,Office franco-québécois pour la jeunesse,381
PO743166,GEVI,Groupe d'études à vocation internationale France-Syrie,SYR
PO743840,GEVI,Groupe d'études à vocation internationale sur les Iles du Pacifique,IP
PO744127,DELEG,Délégation aux collectivités territoriales et à la décentralisation,COLTER
PO744155,MISINFO,Mission d'information sur les mers et océans : quelle stratégie pour la France ?,OCEANS
PO744312,MISINFO,Mission d'information sur la diplomatie culturelle et francophonie - le rayonnement artistique et intellectuel de la France : quelle stratégie à dix ans ?,CULTURE
PO744856,PARPOL,La France Insoumise,FI
PO744858,PARPOL,Régions et peuples solidaires,RPS
PO744860,PARPOL,Tapura Huiraatira,TPH
PO744862,PARPOL,Tavini Huiraatira No Te Ao Maohi - Front de libération de Polynésie,THN
PO744864,PARPOL,"Union des démocrates, radicaux et libéraux",UDRL
PO746314,PARPOL,Non déclaré(s),ND
PO746398,MISINFO,Mission d'évaluation et de contrôle,MEC
PO746612,GE,Action humanitaire,ACTHUMAN
PO746618,GE,Alimentation et santé,ALIMSANTE
PO746624,GE,Amiante,AMIANTE
PO746629,GE,Antisémitisme,ANTISEMITI
PO746634,GE,"Arctique, Antarctique et Terres Australes et Antarctiques françaises – droit des grands fonds",ARCTIQUE
PO746639,GE,Assurances,ASSURANCES
PO746644,GE,Attractivité de la France – export – investissement – compétitivité,ATTRACTIVI
PO746649,GE,Autisme,AUTISME
PO746654,GE,Aviculture,AVICULTURE
PO746659,GE,Cancer,CANCER
PO746669,GE,"Chasse, pêche et territoires",CHASSETERR
