code,date,type,titre,demandeur,nb votants,requis,pour,contre,abstentions,demandeur REP,demandeur LAREM,demandeur FI,demandeur PS,demandeur EELV,demandeur MODEM,demandeur ND,demandeur RPS,demandeur UDRL,demandeur PCF,demandeur CDP,demandeur GOV,demandeur COM SPE
VTANR5L15V1021,2018-07-11,scrutin public ordinaire,"l'amendement n° 2344 de M. Jumel avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""de la Gauche démocrate et républicaine""",103,50,12,86,5,0,0,0,0,0,0,0,0,0,1,0,0,0
VTANR5L15V1022,2018-07-11,scrutin public ordinaire,"l'amendement n° 1837 de M. Lachaud avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""La France insoumise""",114,57,11,101,2,0,0,1,0,0,0,0,0,0,0,0,0,0
VTANR5L15V1023,2018-07-11,scrutin public ordinaire,"l'amendement n° 1097 de Mme Obono avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""La France insoumise""",132,66,21,110,1,0,0,1,0,0,0,0,0,0,0,0,0,0
VTANR5L15V1024,2018-07-11,scrutin public ordinaire,"l'amendement n° 21 de M. Le Fur et les amendements identiques suivants avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""Les Républicains""",146,72,21,121,4,1,0,0,0,0,0,0,0,0,0,0,0,0
VTANR5L15V1025,2018-07-11,scrutin public ordinaire,"l'amendement n° 260 de M. Viala et l'amendement identique suivant avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""Les Républicains""",144,70,16,122,6,1,0,0,0,0,0,0,0,0,0,0,0,0
VTANR5L15V1026,2018-07-11,scrutin public ordinaire,"l'amendement n° 1106 de M. Ratenon avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""La France insoumise""",104,53,18,86,0,0,0,1,0,0,0,0,0,0,0,0,0,0
VTANR5L15V1027,2018-07-12,scrutin public ordinaire,"l'amendement n° 1404 de Mme Untermaier et l'amendement identique suivant avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Présidente du groupe ""Nouvelle Gauche""",74,36,21,50,3,0,0,0,1,0,0,0,0,0,0,0,0,0
VTANR5L15V1028,2018-07-12,scrutin public ordinaire,"l'amendement n° 2306 de M. Jumel et l'amendement identique suivant avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""de la Gauche démocrate et républicaine""",90,43,17,67,6,0,0,0,0,0,0,0,0,0,1,0,0,0
VTANR5L15V1029,2018-07-12,scrutin public ordinaire,"l'amendement n° 2216 de M. Coquerel avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""La France insoumise""",88,42,16,67,5,0,0,1,0,0,0,0,0,0,0,0,0,0
VTANR5L15V103,2017-07-28,scrutin public solennel,l'ensemble du projet de loi pour la confiance dans la vie publique (première lecture).,Conférence des Présidents,372,162,319,4,49,0,0,0,0,0,0,0,0,0,0,1,0,0
VTANR5L15V1030,2018-07-12,scrutin public ordinaire,"l'amendement n° 1269 de M. Mélenchon avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""La France insoumise""",89,44,16,70,3,0,0,1,0,0,0,0,0,0,0,0,0,0
VTANR5L15V1031,2018-07-12,scrutin public ordinaire,"l'amendement n° 2199 de Mme Obono avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""La France insoumise""",110,52,13,90,7,0,0,1,0,0,0,0,0,0,0,0,0,0
VTANR5L15V1032,2018-07-12,scrutin public ordinaire,"l'amendement n° 199 de M. Lagarde avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""UDI, Agir et Indépendants""",119,60,119,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
VTANR5L15V1033,2018-07-12,scrutin public ordinaire,"l'amendement n° 2209 de Mme Autain et les amendements identiques suivants avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""La France insoumise""",78,38,21,53,4,0,0,1,0,0,0,0,0,0,0,0,0,0
VTANR5L15V1034,2018-07-12,scrutin public ordinaire,"l'amendement n° 141 de M. Descoeur et les amendements identiques suivants avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""de la Gauche démocrate et républicaine""",62,30,26,33,3,0,0,0,0,0,0,0,0,0,1,0,0,0
VTANR5L15V1035,2018-07-12,scrutin public ordinaire,"l'amendement n° 2165 de M. Balanant et l'amendement identique suivant avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""La République en Marche""",90,46,66,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0
VTANR5L15V1036,2018-07-13,scrutin public ordinaire,"l'amendement n° 1812 de M. Potier et l'amendement identique suivant avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Présidente du groupe ""Nouvelle Gauche""",71,34,17,49,5,0,0,0,1,0,0,0,0,0,0,0,0,0
VTANR5L15V1037,2018-07-13,scrutin public ordinaire,"l'amendement n° 328 de la commission des lois et l'amendement identique suivant avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""La République en Marche""",72,35,65,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0
VTANR5L15V1038,2018-07-13,scrutin public ordinaire,"l'amendement n° 1412 de Mme Untermaier et l'amendement identique suivant avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Présidente du groupe ""Nouvelle Gauche""",41,21,13,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0
VTANR5L15V1039,2018-07-13,scrutin public ordinaire,"l'amendement n° 1411 de Mme Untermaier et l'amendement identique suivant avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""de la Gauche démocrate et républicaine""",46,23,15,30,1,0,0,0,0,0,0,0,0,0,1,0,0,0
VTANR5L15V104,2017-07-28,scrutin public solennel,l'ensemble du projet de loi organique pour la confiance dans la vie publique (première lecture).,Conférence des Présidents,372,161,283,37,52,0,0,0,0,0,0,0,0,0,0,1,0,0
VTANR5L15V1040,2018-07-13,scrutin public ordinaire,"l'amendement n° 2231 de M. Jumel et l'amendement identique suivant avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""de la Gauche démocrate et républicaine""",55,26,7,43,5,0,0,0,0,0,0,0,0,0,1,0,0,0
VTANR5L15V1041,2018-07-16,scrutin public ordinaire,"l'amendement n° 1424 de Mme Untermaier avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Présidente du groupe ""Nouvelle Gauche""",67,34,23,43,1,0,0,0,1,0,0,0,0,0,0,0,0,0
VTANR5L15V1042,2018-07-16,scrutin public ordinaire,"l'amendement n° 2236 de M. Chassaigne avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""de la Gauche démocrate et républicaine""",58,28,7,47,4,0,0,0,0,0,0,0,0,0,1,0,0,0
VTANR5L15V1043,2018-07-16,scrutin public ordinaire,"l'amendement n° 1425 de Mme Untermaier avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Présidente du groupe ""Nouvelle Gauche""",101,50,33,66,2,0,0,0,1,0,0,0,0,0,0,0,0,0
VTANR5L15V1044,2018-07-16,scrutin public ordinaire,"l'amendement n° 2247 de M. Jumel avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""de la Gauche démocrate et républicaine""",101,50,34,65,2,0,0,0,0,0,0,0,0,0,1,0,0,0
VTANR5L15V1045,2018-07-16,scrutin public ordinaire,"l'amendement n° 1296 de Mme Faucillon avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""de la Gauche démocrate et républicaine""",103,50,33,66,4,0,0,0,0,0,0,0,0,0,1,0,0,0
VTANR5L15V1046,2018-07-16,scrutin public ordinaire,"l'amendement n° 2238 de M. Chassaigne avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""de la Gauche démocrate et républicaine""",104,52,30,72,2,0,0,0,0,0,0,0,0,0,1,0,0,0
VTANR5L15V1047,2018-07-16,scrutin public ordinaire,"l'amendement n° 369 de M. Masson et les amendements identiques suivants avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""de la Gauche démocrate et républicaine""",89,44,29,57,3,0,0,0,0,0,0,0,0,0,1,0,0,0
VTANR5L15V1048,2018-07-16,scrutin public ordinaire,"l'amendement n° 876 de M. El Guerrab et l'amendement identique suivant avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""de la Gauche démocrate et républicaine""",76,37,16,57,3,0,0,0,0,0,0,0,0,0,1,0,0,0
VTANR5L15V1049,2018-07-16,scrutin public ordinaire,"l'amendement n° 221 de M. Lagarde et les amendements identiques suivants avant l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""UDI, Agir et Indépendants""",60,27,40,13,7,0,0,0,0,0,0,0,0,1,0,0,0,0
VTANR5L15V105,2017-08-01,scrutin public ordinaire,"la motion de rejet préalable, déposée par M. Jean-Luc Mélenchon, du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (texte de la commission mixte paritaire).","Président du groupe ""La France insoumise""",302,147,36,256,10,0,0,1,0,0,0,0,0,0,0,0,0,0
VTANR5L15V1050,2018-07-17,scrutin public ordinaire,"l'amendement n° 2066 de M. Marleix et l'amendement identique suivant à l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""Les Républicains""",121,61,54,66,1,1,0,0,0,0,0,0,0,0,0,0,0,0
VTANR5L15V1051,2018-07-17,scrutin public ordinaire,"l'amendement n° 752 de M. Hetzel après l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""Les Républicains""",179,89,64,112,3,1,0,0,0,0,0,0,0,0,0,0,0,0
VTANR5L15V1052,2018-07-17,scrutin public ordinaire,"l'amendement n° 1431 de Mme Untermaier après l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Présidente du groupe ""Nouvelle Gauche""",180,90,78,100,2,0,0,0,1,0,0,0,0,0,0,0,0,0
VTANR5L15V1053,2018-07-17,scrutin public ordinaire,"l'amendement n° 2057 de M. Marleix après l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""Les Républicains""",180,91,77,103,0,1,0,0,0,0,0,0,0,0,0,0,0,0
VTANR5L15V1054,2018-07-17,scrutin public ordinaire,"l'amendement n° 1134 de M. Coquerel et les amendements identiques suivants après l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""La France insoumise""Président du groupe ""de la Gauche démocrate et républicaine""",205,101,77,124,4,0,0,1,0,0,0,0,0,0,1,0,0,0
VTANR5L15V1055,2018-07-17,scrutin public ordinaire,"l'amendement n° 145 de M. Leclerc et l'amendement identique suivant après l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Présidente du groupe ""Nouvelle Gauche""",202,101,78,123,1,0,0,0,1,0,0,0,0,0,0,0,0,0
VTANR5L15V1056,2018-07-17,scrutin public ordinaire,"l'amendement n° 146 de M. Leclerc et l'amendement identique suivant après l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""UDI, Agir et Indépendants""",169,84,65,102,2,0,0,0,0,0,0,0,0,1,0,0,0,0
VTANR5L15V1057,2018-07-17,scrutin public ordinaire,"l'amendement n° 2 rectifié de M. Le Fur et les amendements identiques suivants après l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""Les Républicains""",189,91,61,120,8,1,0,0,0,0,0,0,0,0,0,0,0,0
VTANR5L15V1058,2018-07-17,scrutin public ordinaire,"l'amendement n° 90 de M. Boucard et l'amendement identique suivant après l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""Les Républicains""",182,88,60,115,7,1,0,0,0,0,0,0,0,0,0,0,0,0
VTANR5L15V1059,2018-07-17,scrutin public ordinaire,"l'amendement n° 726 de M. Gosselin après l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""Les Républicains""",185,89,60,116,9,1,0,0,0,0,0,0,0,0,0,0,0,0
VTANR5L15V106,2017-08-01,scrutin public solennel,l'ensemble du projet de loi d'habilitation à prendre par ordonnances les mesures pour le renforcement du dialogue social (texte de la commission mixte paritaire).,Conférence des Présidents,518,248,421,74,23,0,0,0,0,0,0,0,0,0,0,1,0,0
VTANR5L15V1060,2018-07-17,scrutin public ordinaire,"l'amendement n° 1220 de M. Pierre-Henri Dumont après l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""Les Républicains""",186,91,62,118,6,1,0,0,0,0,0,0,0,0,0,0,0,0
VTANR5L15V1061,2018-07-17,scrutin public ordinaire,"l'amendement n° 224 de Mme Kuster et l'amendement identique suivant après l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""Les Républicains""",186,90,59,119,8,1,0,0,0,0,0,0,0,0,0,0,0,0
VTANR5L15V1062,2018-07-17,scrutin public ordinaire,"l'amendement n° 151 de M. Leclerc et l'amendement identique suivant après l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""Les Républicains""",189,90,59,120,10,1,0,0,0,0,0,0,0,0,0,0,0,0
VTANR5L15V1063,2018-07-17,scrutin public ordinaire,"l'amendement n° 1190 de M. Ruffin après l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""UDI, Agir et Indépendants""",130,64,31,96,3,0,0,0,0,0,0,0,0,1,0,0,0,0
VTANR5L15V1064,2018-07-17,scrutin public ordinaire,"l'amendement n° 1522 de Mme Genevard et les amendements identiques suivants après l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""UDI, Agir et Indépendants""",108,53,29,76,3,0,0,0,0,0,0,0,0,1,0,0,0,0
VTANR5L15V1065,2018-07-18,scrutin public ordinaire,"l'amendement n° 1843 de M. Gomès après l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""UDI, Agir et Indépendants""",222,109,89,128,5,0,0,0,0,0,0,0,0,1,0,0,0,0
VTANR5L15V1066,2018-07-18,scrutin public ordinaire,"l'amendement n° 427 de M. Descoeur et les amendements identiques suivants après l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""Les Républicains""",223,109,89,128,6,1,0,0,0,0,0,0,0,0,0,0,0,0
VTANR5L15V1067,2018-07-18,scrutin public ordinaire,"l'amendement n° 854 de M. Vigier et les amendements identiques suivants après l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""UDI, Agir et Indépendants""",220,109,90,126,4,0,0,0,0,0,0,0,0,1,0,0,0,0
VTANR5L15V1068,2018-07-18,scrutin public ordinaire,"l'amendement n° 856 de M. Vigier et les amendements identiques suivants après l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""UDI, Agir et Indépendants""",223,110,91,127,5,0,0,0,0,0,0,0,0,1,0,0,0,0
VTANR5L15V1069,2018-07-18,scrutin public ordinaire,"l'amendement n° 2417 (rect.) de Mme Sage après l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""UDI, Agir et Indépendants""",144,72,58,85,1,0,0,0,0,0,0,0,0,1,0,0,0,0
VTANR5L15V107,2017-08-03,scrutin public solennel,l'ensemble du projet de loi pour la confiance dans la vie politique (texte de la commission mixte paritaire).,Conférence des Présidents,434,194,383,3,48,0,0,0,0,0,0,0,0,0,0,1,0,0
VTANR5L15V1070,2018-07-18,scrutin public ordinaire,"l'amendement n° 1201 de M. Mélenchon après l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""La France insoumise""",112,56,15,95,2,0,0,1,0,0,0,0,0,0,0,0,0,0
VTANR5L15V1071,2018-07-18,scrutin public ordinaire,"l'amendement n° 1123 de M. El Guerrab et l'amendement identique suivant après l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""La France insoumise""",105,52,33,70,2,0,0,1,0,0,0,0,0,0,0,0,0,0
VTANR5L15V1072,2018-07-18,scrutin public ordinaire,"l'amendement n° 1392 de Mme Untermaier après l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Présidente du groupe ""Nouvelle Gauche""",118,60,47,71,0,0,0,0,1,0,0,0,0,0,0,0,0,0
VTANR5L15V1073,2018-07-18,scrutin public ordinaire,"l'amendement n° 1433 de Mme Untermaier après l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Présidente du groupe ""Nouvelle Gauche""",117,58,44,71,2,0,0,0,1,0,0,0,0,0,0,0,0,0
VTANR5L15V1074,2018-07-18,scrutin public ordinaire,"l'amendement n° 1208 de M. Ruffin après l'article premier du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""La France insoumise""",99,49,24,72,3,0,0,1,0,0,0,0,0,0,0,0,0,0
VTANR5L15V1075,2018-07-19,scrutin public ordinaire,"l'amendement n° 2285 de M. Chassaigne après l'article 2 du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""de la Gauche démocrate et républicaine""",75,38,30,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0
VTANR5L15V1076,2018-07-19,scrutin public ordinaire,"l'amendement n° 210 de M. Charles de Courson et l'amendement identique suivant après l'article 2 du projet de loi constitutionnelle pour une démocratie plus représentative, responsable et efficace (première lecture).","Président du groupe ""UDI, Agir et Indépendants""",134,65,59,70,5,0,0,0,0,0,0,0,0,1,0,0,0,0
